EDAD;GENERO;INGRESOS;EGRESOS;HABITO_PAGO;CREDITOS_VIGENTES;PUNTAJE_RIESGO;ESTADO
69;F; $ 1.680.000 ; $ 565.000 ;B;0;0;Negada
69;F; $ 1.253.922 ; $ 904.000 ;B;1;1.920;Desistida
69;F; $ 3.024.000 ; $ 1.279.160 ;B;1;2.265;Aprobada
69;F; $ 929.600 ; $ 226.000 ;C;2;3;Negada
69;F; $ 1.792.000 ; $ 565.000 ;B;2;3;Desistida
69;F; $ 3.024.000 ; $ 1.279.160 ;B;1;2.265;Anulada
69;F; $ 1.915.200 ; $ 678.000 ;E;5;2.160;Aprobada
69;F; $ 6.720.000 ; $ 2.195.590 ;B;5;1.923;Aprobada
69;F; $ 1.522.080 ; $ 565.000 ;B;1;1.866;Desistida
69;F; $ 1.866.051 ; $ 971.800 ;B;0;2.076;Aprobada
69;F; $ 853.261 ; $ 791.000 ;B;0;3;Desistida
69;F; $ 4.480.000 ; $ 1.921.000 ;B;2;2.184;Negada
69;M; $ 952.000 ; $ 339.000 ;E;3;2.208;Negada
69;F; $ 3.986.473 ; $ 1.695.000 ;E;2;2.502;Aprobada
69;F; $ 4.165.922 ; $ 678.000 ;B;1;1.920;Negada
69;F; $ 1.366.400 ; $ 339.000 ;B;0;3;Desistida
69;F; $ 2.800.000 ; $ 452.000 ;B;0;2.073;Negada
69;M; $ 1.008.000 ; $ - ;E;3;2.133;Negada
69;F; $ 1.680.000 ; $ 282.500 ;B;1;2.214;Negada
69;M; $ 3.360.000 ; $ 3.390.000 ;C;4;1.365;Negada
69;M; $ 974.400 ; $ 372.900 ;E;1;2.379;Aprobada
69;M; $ 735.279 ; $ 113.000 ;B;0;2.247;Aprobada
69;F; $ 3.986.473 ; $ 1.695.000 ;E;2;2.502;Anulada
69;F; $ 1.792.000 ; $ 113.000 ;E;8;2.166;Negada
69;M; $ 2.240.000 ; $ 904.000 ;E;2;2.094;Negada
69;F; $ 1.196.160 ; $ 791.000 ;B;2;2.325;Aprobada
68;F; $ 2.240.000 ; $ 1.130.000 ;B;1;3;Negada
68;F; $ 2.688.000 ; $ 1.638.500 ;B;0;2.130;Anulada
68;F; $ 2.688.000 ; $ 1.638.500 ;B;0;2.130;Aprobada
68;F; $ 955.564 ; $ 508.500 ;E;8;837;Desistida
68;F; $ 1.680.000 ; $ 791.000 ;B;1;2.397;Desistida
68;M; $ 2.800.000 ; $ 395.500 ;E;5;2.412;Negada
68;F; $ 5.600.000 ; $ 1.299.500 ;B;1;2.187;Negada
68;F; $ 1.095.360 ; $ 226.000 ;B;1;1.623;Desistida
68;F; $ 896.000 ; $ 339.000 ;C;4;1.395;Negada
68;F; $ 2.240.000 ; $ 339.000 ;E;3;2.520;Desistida
68;F; $ 1.008.000 ; $ 180.800 ;B;0;12;Desistida
68;F; $ 2.240.000 ; $ 1.401.200 ;B;1;3;Aprobada
68;M; $ 1.400.000 ; $ 282.500 ;B;0;0;Negada
68;M; $ 1.680.000 ; $ 452.000 ;C;0;3;Negada
68;F; $ 1.792.000 ; $ 1.130.000 ;B;0;2.430;Negada
68;F; $ 4.480.000 ; $ 3.107.500 ;B;2;2.355;Anulada
68;F; $ 4.480.000 ; $ 3.107.500 ;B;2;2.355;Aprobada
68;F; $ 2.800.000 ; $ 678.000 ;B;0;0;Negada
68;F; $ 1.628.480 ; $ 339.000 ;E;4;2.034;Negada
68;F; $ 985.600 ; $ 587.600 ;B;0;2.328;Aprobada
68;F; $ 1.411.200 ; $ 904.000 ;B;0;12;Anulada
68;F; $ 1.088.277 ; $ 711.900 ;B;0;0;Aprobada
68;F; $ 1.008.000 ; $ 452.000 ;B;1;3;Negada
68;F; $ 1.120.000 ; $ 395.500 ;B;0;0;Desistida
68;F; $ 1.400.000 ; $ 508.500 ;B;0;2.313;Desistida
68;F; $ 1.877.120 ; $ 824.900 ;E;4;2.001;Aprobada
68;F; $ 2.352.000 ; $ 1.808.000 ;E;5;2.280;Desistida
68;F; $ 2.128.000 ; $ 1.423.800 ;E;1;2.433;Aprobada
68;F; $ 2.016.000 ; $ 1.017.000 ;B;5;1.911;Aprobada
68;F; $ 1.344.000 ; $ 791.000 ;B;3;2.067;Anulada
68;F; $ 1.344.000 ; $ 791.000 ;B;3;2.067;Aprobada
68;F; $ 1.411.200 ; $ 904.000 ;B;0;12;Aprobada
68;F; $ 1.624.000 ; $ 765.010 ;B;1;2.193;Desistida
68;F; $ 2.370.461 ; $ 565.000 ;E;6;2.295;Negada
68;M; $ 2.770.880 ; $ 1.130.000 ;E;7;2.109;Desistida
68;M; $ 2.240.000 ; $ 650.880 ;C;4;765;Negada
68;F; $ 1.456.000 ; $ 791.000 ;B;0;3;Negada
68;M; $ 1.120.000 ; $ 339.000 ;E;3;2.415;Negada
68;F; $ 3.360.000 ; $ 904.000 ;B;0;2.001;Desistida
68;M; $ 3.360.000 ; $ 1.130.000 ;E;10;2.313;Desistida
68;F; $ 1.344.000 ; $ 56.500 ;E;1;1.938;Anulada
68;F; $ 1.344.000 ; $ 56.500 ;E;1;1.938;Aprobada
68;M; $ 5.600.000 ; $ 1.695.000 ;E;10;2.043;Desistida
68;F; $ 777.086 ; $ 847.500 ;E;2;2.151;Desistida
68;M; $ 1.680.000 ; $ 339.000 ;E;6;2.289;Negada
68;F; $ 826.243 ; $ 452.000 ;B;0;0;Desistida
68;M; $ 3.360.000 ; $ 1.864.500 ;B;0;12;Negada
68;M; $ 1.792.000 ; $ 1.243.000 ;B;1;2.430;Negada
68;M; $ 1.344.000 ; $ 565.000 ;B;3;2.223;Desistida
68;F; $ 1.344.000 ; $ 56.500 ;E;1;1.938;Anulada
68;M; $ 1.120.000 ; $ 226.000 ;B;0;2.313;Negada
68;F; $ 1.460.921 ; $ 565.000 ;E;11;2.049;Negada
67;F; $ 1.008.000 ; $ 226.000 ;B;0;2.175;Negada
67;F; $ 1.456.000 ; $ 565.000 ;E;6;2.319;Desistida
67;M; $ 2.800.000 ; $ 678.000 ;C;4;1.206;Negada
67;F; $ 784.000 ; $ 113.000 ;B;0;2.430;Negada
67;F; $ 1.792.000 ; $ 734.500 ;E;1;1.209;Aprobada
67;F; $ 1.436.960 ; $ 395.500 ;B;0;2.382;Negada
67;F; $ 1.344.000 ; $ 655.400 ;B;0;0;Aprobada
67;F; $ 2.732.800 ; $ 824.900 ;B;1;2.175;Anulada
67;F; $ 1.299.200 ; $ 632.800 ;E;4;2.346;Aprobada
67;F; $ 1.792.000 ; $ 734.500 ;E;1;1.209;Anulada
67;F; $ 1.680.000 ; $ 565.000 ;B;2;1.323;Anulada
67;F; $ 1.026.256 ; $ 565.000 ;E;3;2.001;Aprobada
67;F; $ 5.264.000 ; $ 3.390.000 ;E;4;2.274;Negada
67;F; $ 872.480 ; $ 508.500 ;E;8;834;Desistida
67;F; $ 3.136.000 ; $ 904.000 ;E;3;2.130;Desistida
67;M; $ 4.480.000 ; $ 2.260.000 ;E;10;2.367;Desistida
67;F; $ 1.344.000 ; $ 226.000 ;E;2;2.025;Negada
67;F; $ 4.480.000 ; $ 1.607.538 ;E;3;2.598;Anulada
67;F; $ 4.480.000 ; $ 1.607.538 ;E;3;2.598;Aprobada
67;F; $ 896.000 ; $ 565.000 ;B;0;2.442;Desistida
67;F; $ 1.304.958 ; $ 339.000 ;E;10;2.253;Anulada
67;F; $ 3.136.000 ; $ 1.017.000 ;C;4;1.605;Desistida
67;F; $ 896.000 ; $ 542.400 ;B;0;0;Desistida
67;F; $ 2.240.000 ; $ 1.017.000 ;B;0;12;Negada
67;F; $ 896.000 ; $ 542.400 ;B;0;0;Anulada
67;F; $ 3.920.000 ; $ 1.819.300 ;E;1;2.559;Aprobada
67;F; $ 815.360 ; $ 395.500 ;E;4;1.011;Desistida
67;F; $ 1.002.176 ; $ 678.000 ;E;1;2.547;Desistida
67;F; $ 3.360.000 ; $ 226.000 ;B;3;1.221;Negada
67;F; $ 2.688.000 ; $ 1.265.600 ;B;1;2.097;Desistida
67;F; $ 1.971.200 ; $ 452.000 ;E;3;2.196;Aprobada
67;M; $ 1.736.000 ; $ 339.000 ;B;0;12;Negada
67;F; $ 1.304.958 ; $ 339.000 ;E;10;2.253;Aprobada
